name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Chevrolet,Cavalier,Седан,800,1997,200.0,Передній,Ручна / Механіка,2.2 л;Бензин,Синій металік,Запоріжжя,,true
Chevrolet,Corsica,Седан,1350,1996,300.0,Передній,Ручна / Механіка,2.2 л;Бензин,Чорний,Маньківка,,true
Chevrolet,Aveo,Седан,1400,2005,299.0,Передній,Ручна / Механіка,Бензин,Чорний,Київ,,true
Chevrolet,C/K,Купе,1500,1989,352.0,Передній,,1.6 л;Газ / Бензин,Білий,Чернівці,,true
Chevrolet,Tacuma,Унiверсал,1800,2005,160.0,,Автомат,2 л;Газ / Бензин,Бежевий,Київ,1,true
Chevrolet,Cavalier,Купе,2000,1989,62.0,Передній,Ручна / Механіка,2.2 л (110 к.с. / 81 кВт);Бензин,Синій металік,Дніпро (Дніпропетровськ),,true
Chevrolet,Cavalier,Седан,2000,1997,373.0,Передній,Ручна / Механіка,2.2 л (165.92 к.с. / 122 кВт);Газ / Бензин,Зелений,Чернігів,,true
Chevrolet,Cavalier,Седан,2100,1997,280.0,Передній,Автомат,2.2 л (120 к.с. / 88 кВт);Бензин,Чорний,Львів,,true
Chevrolet,Aveo,Седан,2100,2004,290.0,Передній,Ручна / Механіка,Газ / Бензин,Синій,Київ,,true
Chevrolet,Aveo,Седан,2200,2005,368.0,Передній,Ручна / Механіка,1.5 л;Бензин,Сірий металік,Рівне,,true
Chevrolet,Aveo,Седан,2200,2006,419.0,Передній,Ручна / Механіка,(86 к.с. / 63 кВт);Бензин,Помаранчевий металік,Львів,,true
Chevrolet,Tacuma,Унiверсал,2399,2004,200.0,Передній,,1.6 л;Газ / Бензин,Бежевий,Харків,,false
Chevrolet,Aveo,Седан,2400,2005,214.0,,Ручна / Механіка,1.5 л;Бензин,Чорний,Дніпро (Дніпропетровськ),2,false
Chevrolet,Aveo,Хетчбек,2400,2005,205.0,Передній,Ручна / Механіка,1.5 л (86 к.с. / 63 кВт);Бензин,Червоний,Київ,3,true
Chevrolet,Aveo,Седан,2400,2005,300.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Синій,Одеса,4,true
Chevrolet,Lanos,Седан,2400,2007,210.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Білий,Суми,3,true
Chevrolet,Avalanche,Седан,2500,2008,170.0,Передній,Ручна / Механіка,1.5 л;Бензин,Сірий металік,Київ,,true
Chevrolet,Aveo,Седан,2500,2005,175.0,,Ручна / Механіка,Бензин,Чорний,Маріуполь,,true
Chevrolet,Aveo,Седан,2500,2008,35.0,Передній,,(318.24 к.с. / 234 кВт);Бензин,,Новодністровськ,3,true
Chevrolet,Celebrity,Унiверсал,2500,1986,84.0,,Автомат,2.5 л;Газ / Бензин,,Київ,,true
Chevrolet,Aveo,Седан,2500,2007,450.0,,Ручна / Механіка,Газ / Бензин,,Київ,,true
Chevrolet,Aveo,Седан,2500,2004,250.0,,Ручна / Механіка,1.5 л;Газ / Бензин,Червоний металік,Хмельницький,3,true
Chevrolet,Niva,Позашляховик / Кросовер,2550,2004,240.0,,,1.7 л;Газ / Бензин,Сірий,Київ,3,true
Chevrolet,Aveo,Седан,2600,2005,259.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Сірий,Ізяслав,2,true
Chevrolet,Aveo,Седан,2600,2005,200.0,,,1.5 л;Газ / Бензин,Чорний,Стрий,4,true
Chevrolet,Tacuma,Унiверсал,2600,2005,400.0,,Ручна / Механіка,1.6 л;Газ / Бензин,Червоний,Харків,1,true
Chevrolet,Lanos,Седан,2600,2003,170.0,Передній,,Бензин,Сірий,Миколаїв,,true
Chevrolet,Aveo,Седан,2650,2006,376.0,Передній,Ручна / Механіка,1.5 л (90 к.с. / 66 кВт);Газ / Бензин,Синій металік,Київ,3,true
Chevrolet,Aveo,Седан,2700,2004,248.0,Передній,Ручна / Механіка,1.5 л (86 к.с. / 63 кВт);Газ / Бензин,Синій металік,Львів,,true
Chevrolet,Lanos,Седан,2700,2007,200.0,Передній,Ручна / Механіка,1.5 л;Бензин,Синій,Тальне,1,true
