name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Mercedes-Benz,E 200,Седан,800,1982,500.0,Задній,Ручна / Механіка,2 л;Дизель,Бежевий,Чернівці,,true
Mercedes-Benz,E 300,Седан,900,1980,500.0,,Ручна / Механіка,3 л;Дизель,,Кропивницький (Кіровоград),,true
Mercedes-Benz,E 240,Унiверсал,1000,1983,100.0,Задній,Ручна / Механіка,2.4 л;Дизель,Білий,Івано-Франківськ,3,true
Mercedes-Benz,Sprinter 412 груз.,Інший,1000,1988,999.0,,,,,Київ,,false
Mercedes-Benz,E 300,Унiверсал,1000,1982,300.0,Задній,Ручна / Механіка,3 л (88 к.с. / 65 кВт);Дизель,Білий,Бориспіль,4,true
Mercedes-Benz,MB груз.,"Легковий фургон (до 1,5т)",1000,1994,258.0,Передній,Ручна / Механіка,Дизель,Червоний,Хмільник,1,true
Mercedes-Benz,E 230,Седан,1100,1986,230.0,Задній,Ручна / Механіка,2 л;Бензин,Синій,Київ,,true
Mercedes-Benz,E 200,Седан,1200,1982,654.0,,Ручна / Механіка,Дизель,,Чернівці,,true
Mercedes-Benz,E 240,Седан,1200,1979,100.0,Задній,Ручна / Механіка,Дизель,Коричневий,Луцьк,,true
Mercedes-Benz,E 220,Седан,1200,1982,300.0,,Ручна / Механіка,2.3 л;Дизель,Жовтий,Мукачеве,,true
Mercedes-Benz,E 230,Седан,1200,1989,50.0,,,2.3 л;Бензин,Білий,Коломия,2,true
Mercedes-Benz,190,Седан,1250,1984,300.0,Задній,Ручна / Механіка,2 л;Газ / Бензин,Білий,Вінниця,,true
Mercedes-Benz,E 240,Седан,1250,1985,300.0,,Ручна / Механіка,2.4 л;Дизель,,Тернопіль,,true
Mercedes-Benz,E 200,Седан,1300,1979,111.0,Задній,Ручна / Механіка,2 л (10000 к.с. / 7355 кВт);Дизель,Зелений,Хмельницький,,true
Mercedes-Benz,C 220,Седан,1300,1993,350.0,Задній,Ручна / Механіка,Дизель,,Рубіжне,,true
Mercedes-Benz,E 300,Седан,1300,1986,200.0,,,3 л;Дизель,,Хмільник,,true
Mercedes-Benz,E 200,Седан,1350,1977,450.0,Задній,Ручна / Механіка,2 л (60 к.с. / 44 кВт);Дизель,Жовтий,Кривий Ріг,3,true
Mercedes-Benz,E 240,Седан,1350,1981,250.0,,,Дизель,Білий,Могилів-Подільський,,true
Mercedes-Benz,E 200,Седан,1450,1981,178.0,Задній,Ручна / Механіка,2 л;Бензин,Червоний,Сторожинець,2,true
Mercedes-Benz,E 300,Унiверсал,1450,1980,685.0,,,,Червоний,Ужгород,2,true
Mercedes-Benz,E 240,Седан,1499,1975,100.0,,,,Білий,Ужгород,,true
Mercedes-Benz,E 240,Унiверсал,1500,1981,100.0,,,2 л;Дизель,Зелений металік,Чернівці,1,true
Mercedes-Benz,C 220,Седан,1500,1993,210.0,Задній,Ручна / Механіка,2.2 л;Дизель,,Рубіжне,,false
Mercedes-Benz,E 240,Седан,1500,1980,100.0,Задній,Ручна / Механіка,Дизель,Білий,Миронівка,,true
Mercedes-Benz,190,Седан,1600,1987,400.0,Задній,Автомат,Дизель,Синій металік,Київ,,true
Mercedes-Benz,C 180,Седан,1600,1997,306.0,Задній,Ручна / Механіка,1.8 л;Газ / Бензин,Чорний металік,Харків,2,true
Mercedes-Benz,E 200,Седан,1600,1980,250.0,Задній,Ручна / Механіка,2 л;Дизель,Червоний,Одеса,1,true
Mercedes-Benz,E 220,Седан,1600,1994,230.0,Задній,Автомат,2.2 л;Газ / Бензин,Сірий,Калинівка,1,true
Mercedes-Benz,190,Седан,1600,1988,250.0,Задній,Ручна / Механіка,2 л;Газ / Бензин,Червоний металік,Теофіполь,1,true
Mercedes-Benz,190,Седан,1700,1987,200.0,Задній,Ручна / Механіка,2.6 л;Бензин,Сірий,Одеса,2,true
Mercedes-Benz,E 200,Седан,1700,1982,111.0,Задній,Ручна / Механіка,2 л,Білий,Ямпіль,,true
Mercedes-Benz,E 250,Лімузин,1700,1995,1.0,,,,,Житомир,,true
Mercedes-Benz,E 230,Седан,1750,1987,700.0,,Ручна / Механіка,Бензин,Сірий металік,Тячів,,true
Mercedes-Benz,E 180,Седан,1799,1977,100.0,,Ручна / Механіка,2.3 л;Газ / Бензин,Білий,Бердянськ,5,true
Mercedes-Benz,E 230,Седан,1800,1982,500.0,Задній,Ручна / Механіка,2.3 л;Бензин,Зелений металік,Вінниця,,true
