name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Lexus,ES 300,Седан,2500,1992,310.0,Передній,Автомат,3 л (188 к.с. / 138 кВт);Бензин,Чорний,Маріуполь,1,true
Lexus,GS 300,Седан,3400,1995,320.0,Задній,Автомат,3 л;Бензин,Чорний металік,Одеса,3,true
Lexus,GS 300,Седан,4000,1993,333.0,Задній,Автомат,3 л;Газ / Бензин,Сірий,Одеса,3,true
Lexus,ES 300,Седан,4100,1998,420.0,Передній,,3 л (215 к.с. / 158 кВт);Газ / Бензин,Зелений металік,Дрогобич,6,true
Lexus,GS 300,Седан,4300,1995,365.0,Задній,Автомат,3 л;Газ / Бензин,Чорний,Одеса,2,true
Lexus,LS 400,Седан,4499,1996,200.0,,Автомат,4 л;Газ / Бензин,Сірий металік,Павлоград,5,true
Lexus,GS 300,Седан,4500,1993,50.0,Задній,Автомат,3 л (220 к.с. / 162 кВт);Газ / Бензин,Синій,Миколаїв,,true
Lexus,GS 300,Седан,4900,1999,330.0,Задній,Автомат,3 л (234 к.с. / 172 кВт);Газ / Бензин,Чорний металік,Добропілля,3,true
Lexus,GS 300,Седан,4900,1998,395.0,,,3 л;Газ / Бензин,Зелений,Київ,3,true
Lexus,IS 200,Седан,4999,2000,192.0,Задній,Ручна / Механіка,2 л;Бензин,Сірий металік,Одеса,3,true
Lexus,GS 300,Седан,5450,2002,311.0,,,,,Вижниця,,true
Lexus,IS 200,Седан,5500,1999,320.0,Задній,Ручна / Механіка,2 л;Бензин,Сірий металік,Боярка,,true
Lexus,GS 300,Седан,5700,2001,279.0,Задній,Автомат,3 л (219 к.с. / 161 кВт);Бензин,Чорний,Київ,5,true
Lexus,IS 200,Седан,5950,2002,187.0,,,2 л;Бензин,Сірий,Одеса,1,true
Lexus,IS 200,Седан,5999,1999,328.0,Задній,Ручна / Механіка,2 л (155.04 к.с. / 114 кВт);Газ / Бензин,Чорний,Дніпро (Дніпропетровськ),4,true
Lexus,GS 300,Седан,6000,1998,306.0,Задній,,3 л;Газ / Бензин,Синій,Ізмаїл,3,true
Lexus,GS 300,Седан,6000,2001,313.0,Задній,Автомат,3 л (222 к.с. / 163 кВт);Бензин,Синій металік,Одеса,4,true
Lexus,GS 300,Седан,6000,2000,355.0,Задній,Автомат,3 л (230 к.с. / 169 кВт);Газ / Бензин,Зелений,Київ,,true
Lexus,GS 300,Седан,6100,1996,370.0,Задній,Автомат,3 л (225 к.с. / 165 кВт);Бензин,Сірий металік,Мелітополь,2,true
Lexus,GS 300,Седан,6100,1998,350.0,,Автомат,3 л;Газ / Бензин,Синій,Запоріжжя,7,true
Lexus,IS 200,Седан,6200,1999,325.0,Задній,Ручна / Механіка,2 л (165 к.с. / 121 кВт);Газ / Бензин,Сірий металік,Слов'янськ,3,true
Lexus,GS 300,Седан,6200,2000,230.0,Задній,,3 л;Бензин,Чорний,Надвірна,,true
Lexus,ES 300,Седан,6300,2004,337.0,Передній,Автомат,3 л;Бензин,Чорний,Київ,,true
Lexus,ES 300,Седан,6350,2005,160.0,Передній,Автомат,3 л;Бензин,Сірий,Кагарлик,,true
Lexus,GS 300,Седан,6500,1999,195.0,Задній,Автомат,3 л;Бензин,Сірий металік,Одеса,2,true
Lexus,IS 200,Седан,6600,2001,343.0,Задній,Автомат,2 л (156 к.с. / 115 кВт);Газ / Бензин,Чорний металік,Сміла,1,true
Lexus,GS 300,Седан,6600,1999,350.0,,Автомат,3 л;Бензин,Білий металік,Миколаїв,4,true
Lexus,LS 430,Седан,6700,2002,283.0,Передній,Автомат,4.3 л;Газ / Бензин,Сірий металік,Київ,,true
Lexus,GS 300,Седан,6700,1998,340.0,Задній,Автомат,3 л;Газ / Бензин,Сірий металік,Одеса,3,true
Lexus,GS 300,Седан,6750,2002,354.0,Задній,Автомат,3 л (226 к.с. / 166 кВт);Газ / Бензин,Сірий металік,Харків,3,true
Lexus,LS 400,Седан,6800,1999,400.0,Задній,Автомат,4 л;Бензин,Чорний,Одеса,3,true
Lexus,ES 300,Седан,6890,2002,220.0,,,3 л;Газ / Бензин,Чорний,Кременчук,6,true
Lexus,RX 300,Унiверсал,6900,1998,291.0,Повний,Автомат,3 л;Газ / Бензин,Сірий металік,Харків,2,true
Lexus,ES 300,Седан,6900,2003,200.0,Передній,Автомат,3 л (213 к.с. / 157 кВт);Газ / Бензин,Чорний металік,Львів,1,true
Lexus,RX 300,Позашляховик / Кросовер,6900,2000,260.0,,,3 л;Газ / Бензин,Сірий,Запоріжжя,6,true
Lexus,GS 300,Седан,6900,1999,270.0,,,,,Одеса,7,true
Lexus,RX 300,Позашляховик / Кросовер,6950,1999,440.0,Повний,Автомат,3 л (222 к.с. / 163 кВт);Бензин,Чорний металік,Чернівці,,true
Lexus,IS 200,Хетчбек,6950,1999,310.0,,Ручна / Механіка,2 л;Газ / Бензин,Сірий,Бахмут (Артемівськ),1,true
Lexus,GS 300,Седан,6999,2000,385.0,Задній,Автомат,3 л;Газ / Бензин,,Львів,1,true
Lexus,GS 300,Седан,7000,2000,361.0,Задній,Автомат,3 л (222 к.с. / 163 кВт);Газ / Бензин,Чорний,Кам'янське (Дніпродзержинськ),6,true
Lexus,RX 300,Позашляховик / Кросовер,7000,1999,250.0,Передній,Автомат,Газ / Бензин,Чорний,Баранівка,,true
Lexus,GS 300,Седан,7000,1998,250.0,,Автомат,3 л;Газ / Бензин,Сірий,Одеса,1,true
Lexus,RX 300,Позашляховик / Кросовер,7000,1999,20.0,Передній,Автомат,Газ / Бензин,Чорний,Баранівка,,false
Lexus,LS 400,Седан,7200,1998,420.0,Задній,Автомат,4 л (400 к.с. / 294 кВт);Бензин,Синій металік,Одеса,3,true
Lexus,GS 300,Седан,7300,1999,292.0,Задній,Автомат,3 л (230 к.с. / 169 кВт);Бензин,Синій металік,Харків,3,true
Lexus,RX 300,Позашляховик / Кросовер,7300,1999,318.0,Повний,Автомат,3 л (230 к.с. / 169 кВт);Газ / Бензин,Сірий,Дніпро (Дніпропетровськ),,true
Lexus,GS 300,Седан,7300,2001,320.0,Задній,Типтронік,3 л (219 к.с. / 161 кВт);Газ / Бензин,Зелений металік,Вінниця,4,true
Lexus,GS 300,Седан,7500,2006,245.0,Задній,Автомат,3 л (250 к.с. / 184 кВт);Газ / Бензин,Сірий,Миколаїв,4,true
Lexus,RX 300,Позашляховик / Кросовер,7500,2001,400.0,,Автомат,,,Дніпро (Дніпропетровськ),3,true
Lexus,RX 300,Позашляховик / Кросовер,7500,2002,177.0,Повний,Автомат,3 л;Бензин,Чорний металік,Київ,,true
Lexus,ES 300,Седан,7500,2001,270.0,Передній,Автомат,3 л;Газ / Бензин,Сірий металік,Одеса,5,true
Lexus,GS 300,Седан,7500,2005,210.0,Повний,Автомат,3 л;Бензин,Сірий металік,Бровари,8,true
Lexus,IS 220,Седан,7500,2006,210.0,Задній,Ручна / Механіка,2.2 л (177 к.с. / 130 кВт);Дизель,Сірий металік,Сторожинець,1,true
Lexus,RX 300,Позашляховик / Кросовер,7500,2001,380.0,,Автомат,3 л;Газ / Бензин,Чорний,Харків,4,true
Lexus,ES 300,Седан,7500,2004,320.0,Передній,Автомат,3 л;Газ / Бензин,Чорний металік,Київ,2,true
Lexus,RX 300,Позашляховик / Кросовер,7500,2001,200.0,Повний,Автомат,3 л (223 к.с. / 164 кВт);Газ / Бензин,Білий,Дніпро (Дніпропетровськ),,true
Lexus,GS 300,Седан,7600,2003,230.0,Задній,,3 л (226 к.с. / 166 кВт);Газ / Бензин,Сірий,Чернівці,,true
Lexus,ES 300,Седан,7600,2003,395.0,Передній,Автомат,3 л;Газ / Бензин,Бежевий металік,Київ,4,true
Lexus,RX 300,Хетчбек,7700,2002,220.0,Повний,Автомат,3 л (285.6 к.с. / 210 кВт);Газ / Бензин,Сірий металік,Тараща,6,true
Lexus,IS 200,Седан,7700,1999,165.0,Задній,Ручна / Механіка,2 л (155 к.с. / 114 кВт);Бензин,Синій металік,Запоріжжя,,true
Lexus,RX 300,Позашляховик / Кросовер,7750,2000,181.0,Повний,Автомат,3 л;Бензин,Сірий,Миколаїв,,true
Lexus,RX 300,Позашляховик / Кросовер,7800,2001,335.0,Повний,Автомат,3 л;Газ / Бензин,Чорний,Львів,5,true
Lexus,LS 430,Седан,7800,2002,297.0,Задній,Автомат,4.3 л;Газ / Бензин,Зелений металік,Рівне,2,true
Lexus,RX 300,Хетчбек,7800,1999,260.0,Повний,Автомат,3 л (223 к.с. / 164 кВт);Газ / Бензин,Чорний металік,Одеса,,true
Lexus,GS 300,Седан,7800,2000,300.0,,Автомат,3 л;Газ / Бензин,Чорний,Одеса,3,true
Lexus,GS 300,Седан,7800,2006,196.0,Задній,Типтронік,3 л (250 к.с. / 184 кВт);Бензин,Сірий металік,Маріуполь,6,true
Lexus,RX 300,Позашляховик / Кросовер,7850,2002,105.0,Повний,Автомат,3 л;Бензин,Сірий,Одеса,3,true
Lexus,RX 300,Унiверсал,7850,1999,401.0,Повний,Автомат,3 л (192 к.с. / 141 кВт);Газ / Бензин,Зелений,Івано-Франківськ,2,true
Lexus,RX 300,Позашляховик / Кросовер,7900,2000,398.0,Повний,Автомат,3 л;Бензин,Зелений,Київ,1,true
Lexus,RX 300,Позашляховик / Кросовер,7900,2003,320.0,Повний,Автомат,3 л;Газ / Бензин,Сірий металік,Львів,3,true
Lexus,ES 300,Седан,7900,2002,320.0,Передній,Автомат,3 л;Газ / Бензин,Сірий,Одеса,2,true
Lexus,IS 250,Седан,8000,2007,220.0,Повний,Автомат,2.5 л;Бензин,Чорний,Київ,2,true
Lexus,RX 300,Позашляховик / Кросовер,8000,2000,179.0,Повний,Автомат,3 л;Газ / Бензин,Сірий,Миколаїв,4,true
