name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Nissan,Bluebird,Седан,700,1988,500.0,Передній,Ручна / Механіка,2 л;Дизель,Білий,Одеса,2,true
Nissan,Maxima,Седан,750,1988,100.0,Передній,Ручна / Механіка,3 л;Газ / Бензин,Сірий,Скадовськ,,true
Nissan,Maxima,Седан,800,1992,495.0,Передній,Ручна / Механіка,3 л;Бензин,Червоний,Ізмаїл,,false
Nissan,Bluebird,Хетчбек,800,1987,474.0,Передній,Ручна / Механіка,2 л (140 к.с. / 103 кВт);Бензин,Сірий,Вінниця,,true
Nissan,Sunny,Унiверсал,800,1987,460.0,,,,,Тернопіль,,true
Nissan,Primera,Седан,800,1992,400.0,Передній,Ручна / Механіка,2 л (150 к.с. / 110 кВт);Газ / Бензин,Чорний,Одеса,3,false
Nissan,Trade,"Легковий фургон (до 1,5т)",800,1996,200.0,Задній,Ручна / Механіка,0.12 л;Дизель,Зелений,Одеса,1,true
Nissan,Sunny,Унiверсал,895,1989,192.0,,Ручна / Механіка,1.7 л;Дизель,Білий,Кілія,,true
Nissan,Sunny,Седан,900,1989,245.0,Передній,Ручна / Механіка,1.6 л (86 к.с. / 63 кВт);Бензин,Червоний,Макіївка,,true
Nissan,Primera,Хетчбек,900,1993,300.0,Передній,Ручна / Механіка,1.6 л;Бензин,Сірий металік,Ізмаїл,,false
Nissan,Sunny,Седан,1000,1987,300.0,Передній,Автомат,1.7 л;Дизель,Сірий,Одеса,,true
Nissan,Sunny,Седан,1000,1986,300.0,Передній,Ручна / Механіка,1.7 л;Дизель,Синій,Броди,,true
Nissan,Skyline,Седан,1000,1987,200.0,,Автомат,1.8 л;Бензин,Білий,Одеса,,true
Nissan,Sunny,Хетчбек,1000,1987,303.0,Передній,Ручна / Механіка,1.3 л;Бензин,Синій,Чернівці,,true
Nissan,Sunny,Хетчбек,1000,1989,300.0,Передній,Ручна / Механіка,1.3 л (60 к.с. / 44 кВт);Бензин,Сірий,Київ,,true
Nissan,Laurel,Седан,1000,1986,300.0,Задній,Ручна / Механіка,2.8 л;Дизель,Зелений,Одеса,2,true
Nissan,Micra,Хетчбек,1000,1989,330.0,,Ручна / Механіка,0.98 л;Бензин,Білий,Київ,1,true
Nissan,Pulsar,Седан,1000,1987,187.0,Передній,Ручна / Механіка,1.3 л;Бензин,,Одеса,,true
Nissan,Bluebird,Хетчбек,1000,1987,250.0,Передній,Ручна / Механіка,2 л (105 к.с. / 77 кВт);Газ / Бензин,Сірий,Кам'янське (Дніпродзержинськ),,true
Nissan,Micra,Хетчбек,1000,1988,100.0,Передній,Ручна / Механіка,1 л;Бензин,Білий,Верховина,1,true
Nissan,Sunny,Унiверсал,1020,1986,270.0,Передній,,1.7 л;Дизель,Сірий,Червоноград,,true
Nissan,Micra,Хетчбек,1050,1989,125.0,Передній,Ручна / Механіка,1 л;Газ / Бензин,Білий,Славута,,true
Nissan,Micra,Хетчбек,1050,1988,240.0,Передній,Ручна / Механіка,1 л;Газ / Бензин,Сірий,Бережани,,true
Nissan,Stanza,Хетчбек,1100,1985,285.0,,Ручна / Механіка,1.8 л;Газ / Бензин,Бежевий,Харків,,true
Nissan,Sunny,Купе,1100,1989,220.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Синій металік,Кременчук,3,true
Nissan,Datsun,"Легковий фургон (до 1,5т)",1200,1983,230.0,Задній,Ручна / Механіка,2 л;Газ / Бензин,Синій,Миколаїв,1,true
Nissan,Bluebird,Седан,1200,1991,271.0,Передній,Ручна / Механіка,Бензин,Синій металік,Кам'янське (Дніпродзержинськ),,true
Nissan,Prairie,Мінівен,1200,1984,111.0,Передній,Ручна / Механіка,Газ / Бензин,Бежевий металік,Черкаси,,true
Nissan,Primera,Седан,1200,1993,275.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний,Рівне,,true
Nissan,Sunny,Купе,1200,1986,410.0,,,1.5 л;Бензин,Червоний,Рогатин,1,true
Nissan,Sunny,Хетчбек,1200,1986,280.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний,Черкаси,2,true
Nissan,Micra,Хетчбек,1200,2006,230.0,Передній,Ручна / Механіка,Бензин,Синій,Київ,,false
Nissan,Sunny,Седан,1249,1987,380.0,Передній,Ручна / Механіка,1.3 л (75 к.с. / 55 кВт),Сірий металік,Ковель,,true
Nissan,Micra,Хетчбек,1250,1988,377.0,Передній,Ручна / Механіка,1 л (55 к.с. / 40 кВт);Бензин,Білий,Хмільник,,true
Nissan,Sunny,Унiверсал,1250,1990,300.0,Передній,Ручна / Механіка,(17 к.с. / 13 кВт);Дизель,Сірий металік,Городок,,true
Nissan,Sunny,Седан,1250,1987,240.0,Передній,Ручна / Механіка,1.6 л (86 к.с. / 63 кВт);Бензин,Червоний,Подільськ (Котовськ),1,true
Nissan,Bluebird,Унiверсал,1250,1988,534.0,Передній,Ручна / Механіка,2 л (69 к.с. / 51 кВт);Дизель,Сірий металік,Кам'янське (Дніпродзержинськ),,true
Nissan,Sunny,Хетчбек,1250,1988,10.0,Передній,Ручна / Механіка,1.7 л;Дизель,Сірий металік,Рівне,,true
Nissan,Sunny,Унiверсал,1280,1984,88.0,Передній,Ручна / Механіка,(1.6 к.с. / 1 кВт);Дизель,Білий,Хмельницький,,true
Nissan,Cherry,Хетчбек,1300,1985,266.0,Передній,Ручна / Механіка,1.5 л;Бензин,Чорний,Козова,,true
Nissan,Laurel,Седан,1300,1986,325.0,Задній,Ручна / Механіка,2.4 л (128 к.с. / 94 кВт);Бензин,Червоний,Запоріжжя,,true
Nissan,Stanza,Седан,1300,1986,180.0,Передній,Ручна / Механіка,1.8 л (90 к.с. / 66 кВт);Бензин,Коричневий,Кобеляки,,true
Nissan,Sunny,Седан,1300,1987,200.0,Передній,Ручна / Механіка,1.7 л;Дизель,Сірий металік,Могилів-Подільський,,true
Nissan,Sunny,"Легковий фургон (до 1,5т)",1300,1995,447.0,,Ручна / Механіка,1.7 л;Дизель,Білий,Гадяч,2,true
Nissan,Sunny,Унiверсал,1300,1986,300.0,Передній,Ручна / Механіка,1.5 л (112 к.с. / 82 кВт);Газ / Бензин,Сірий металік,Черкаси,,true
Nissan,Auster,Седан,1300,1990,390.0,Передній,Ручна / Механіка,1.8 л;Бензин,Білий,Київ,2,true
Nissan,Maxima,Седан,1300,1993,320.0,Передній,Ручна / Механіка,3 л;Газ / Бензин,Синій металік,Ковель,5,true
Nissan,100NX,Купе,1300,1992,140.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний,Київ,2,true
Nissan,Primera,Хетчбек,1380,1992,200.0,Передній,Ручна / Механіка,2.02 л;Газ / Бензин,Синій,Сватове,2,true
Nissan,Bluebird,Седан,1500,1987,178.0,Передній,Ручна / Механіка,1.8 л,Білий,Івано-Франківськ,,false
Nissan,Bluebird,Седан,1500,1983,80.0,,Ручна / Механіка,1.8 л;Бензин,,Дніпро (Дніпропетровськ),,true
Nissan,Sunny,Хетчбек,1500,1988,304.0,Передній,Ручна / Механіка,1.6 л;Бензин,Зелений,Біляївка,2,true
Nissan,Bluebird,Седан,1500,1986,280.0,Передній,Ручна / Механіка,2 л (120 к.с. / 88 кВт);Бензин,Сірий металік,Одеса,,true
Nissan,Sunny,Хетчбек,1500,1988,350.0,Передній,Ручна / Механіка,1.7 л;Дизель,Червоний,Ратне,2,true
Nissan,Vanette пасс.,"Легковий фургон (до 1,5т)",1500,1987,126.0,Задній,Ручна / Механіка,2 л,Білий,Черкаси,,true
Nissan,Micra,Хетчбек,1500,1989,153.0,Передній,Ручна / Механіка,1.2 л;Бензин,Білий,Київ,,true
Nissan,Bluebird,Седан,1500,1986,308.0,Передній,Ручна / Механіка,2 л (69 к.с. / 51 кВт);Дизель,Бежевий,Одеса,,true
Nissan,Primera,Седан,1550,1994,250.0,,Автомат,2 л;Газ / Бензин,Червоний,Одеса,3,true
Nissan,Sunny,Седан,1550,1987,215.0,Передній,,1.6 л;Газ / Бензин,Червоний,Херсон,2,true
Nissan,Sunny,Седан,1600,1991,350.0,,Ручна / Механіка,Газ / Бензин,,Одеса,,true
Nissan,Bluebird,Хетчбек,1600,1987,111.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Червоний,Одеса,3,true
Nissan,Primera,Седан,1600,1993,365.0,,,2 л (2 к.с. / 1 кВт);Дизель,Сірий,Вінниця,1,true
Nissan,Altima,Седан,1600,1994,253.0,Передній,Ручна / Механіка,2.4 л (367.2 к.с. / 270 кВт);Бензин,Чорний,Херсон,1,true
Nissan,Primera,Седан,1600,1993,300.0,Задній,Ручна / Механіка,2 л (125 к.с. / 92 кВт);Бензин,Сірий,Дубно,,true
Nissan,Sunny,Седан,1600,1991,290.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Червоний,Харків,2,true
Nissan,Primera,Седан,1650,1992,292.0,Передній,Ручна / Механіка,2 л (75 к.с. / 55 кВт);Дизель,Синій,Дніпро (Дніпропетровськ),2,true
Nissan,Micra,Хетчбек,1650,1995,316.0,Передній,Ручна / Механіка,1 л;Бензин,Білий,Київ,3,true
Nissan,Sunny,Хетчбек,1700,1992,200.0,Передній,Ручна / Механіка,1.4 л;Бензин,Червоний,Одеса,2,true
