name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Peugeot,309,Седан,400,1987,29.0,,,1.9 л;Дизель,Синій,Ковель,3,true
Peugeot,309,Седан,500,1987,200.0,Передній,Ручна / Механіка,1.9 л;Дизель,Червоний,Одеса,,true
Peugeot,405,Седан,600,1989,250.0,Передній,Ручна / Механіка,Газ / Бензин,Синій металік,Тернопіль,,true
Peugeot,405,Седан,650,1987,352.0,,Ручна / Механіка,1.9 л;Бензин,Червоний,Бережани,,true
Peugeot,405,Седан,650,1988,400.0,Передній,Ручна / Механіка,1.8 л (90 к.с. / 66 кВт);Дизель,Сірий,Надвірна,,true
Peugeot,309,Хетчбек,650,1986,532.0,Передній,Ручна / Механіка,1.9 л;Дизель,Червоний,Миколаїв,,true
Peugeot,309,Хетчбек,700,1988,280.0,,,1.3 л;Бензин,Червоний,Кам'янець-Подільський,3,true
Peugeot,309,Хетчбек,700,1986,250.0,Передній,Ручна / Механіка,(1.6 к.с. / 1 кВт);Бензин,Чорний,Долина,,true
Peugeot,309,Хетчбек,749,1987,220.0,Передній,Ручна / Механіка,1.6 л (100 к.с. / 74 кВт);Газ / Бензин,Синій металік,Сокиряни,,true
Peugeot,309,Хетчбек,800,1993,270.0,,Ручна / Механіка,1.4 л;Бензин,Червоний,Ковель,,true
Peugeot,405,Седан,800,1989,205.0,Передній,Ручна / Механіка,1.9 л;Бензин,Сірий,Ужгород,,true
Peugeot,J5 груз.,Інший,800,1989,300.0,Передній,Ручна / Механіка,Дизель,Зелений,Андрушівка,,true
Peugeot,309,Хетчбек,895,1986,283.0,Передній,Ручна / Механіка,1.4 л (105 к.с. / 77 кВт);Бензин,Синій,Вишгород,1,true
Peugeot,405,Седан,900,1989,200.0,Передній,Ручна / Механіка,1.58 л;Газ / Бензин,Бежевий,Чуднів,,true
Peugeot,205,Унiверсал,950,1985,10.0,,Ручна / Механіка,,,Київ,,true
Peugeot,Boxer груз.,"Легковий фургон (до 1,5т)",950,1998,346.0,Передній,Ручна / Механіка,2.5 л;Дизель,,Суми,,true
Peugeot,306,Хетчбек,1000,1998,150.0,Передній,Ручна / Механіка,1.4 л (75 к.с. / 55 кВт),Червоний,Ірпінь,,true
Peugeot,106,Хетчбек,1000,1995,299.0,Передній,Ручна / Механіка,0.95 л;Бензин,Синій,Черкаси,1,true
Peugeot,309,Хетчбек,1000,1987,230.0,Передній,Ручна / Механіка,1.3 л;Бензин,Бежевий металік,Київ,4,true
Peugeot,306,Хетчбек,1000,1993,310.0,,Ручна / Механіка,1.9 л;Дизель,Синій,Чернівці,3,true
Peugeot,309,Хетчбек,1000,1993,250.0,Передній,Ручна / Механіка,1.4 л;Газ / Бензин,Червоний,Слов'янськ,,true
Peugeot,405,Седан,1100,1989,10.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний,Калуш,2,true
Peugeot,405,Седан,1100,1987,400.0,Передній,Ручна / Механіка,1.9 л;Бензин,Червоний,Тернопіль,,true
Peugeot,305,Седан,1119,1986,620.0,Передній,Ручна / Механіка,1.9 л (64 к.с. / 47 кВт);Дизель,Сірий металік,Хмельницький,,true
Peugeot,309,Хетчбек,1180,1987,81.0,Передній,Ручна / Механіка,1.9 л;Газ / Бензин,Сірий,Миколаїв,3,true
Peugeot,605,Седан,1200,1990,300.0,,,3 л;Газ / Бензин,Зелений,Житомир,1,true
Peugeot,405,Унiверсал,1200,1993,130.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Чорний,Володимир-Волинський,,true
Peugeot,405,Седан,1200,1989,111.0,,,1.9 л;Дизель,,Калуш,,true
Peugeot,405,Седан,1200,1988,300.0,Передній,Ручна / Механіка,1.9 л;Дизель,Білий,Кривий Ріг,,true
Peugeot,309,Седан,1200,1989,150.0,,,1.2 л;Бензин,,Кам'янець-Подільський,,false
Peugeot,405,Седан,1231,1988,728.0,Передній,Ручна / Механіка,1.6 л;Бензин,Сірий,Новоград-Волинський,,true
Peugeot,305,Седан,1250,1983,200.0,Передній,Ручна / Механіка,1.5 л;Бензин,Білий,Коломия,2,true
Peugeot,Boxer груз.,"Легковий фургон (до 1,5т)",1260,2000,253.0,,Ручна / Механіка,2.4 л;Дизель,Синій,Тернопіль,1,true
Peugeot,605,Седан,1300,1993,551.0,Передній,,2 л (121 к.с. / 89 кВт);Газ / Бензин,Зелений,Липовець,3,false
Peugeot,405,Седан,1300,1987,5.0,Передній,Ручна / Механіка,1.9 л (120 к.с. / 88 кВт);Газ / Бензин,Синій,Городок,,true
Peugeot,405,Седан,1300,1989,111.0,Передній,Ручна / Механіка,(90 к.с. / 66 кВт);Бензин,Сірий,Львів,,true
Peugeot,405,Седан,1300,1987,435.0,Передній,Ручна / Механіка,1.9 л;Бензин,Синій,Жмеринка,1,false
Peugeot,405,Седан,1300,1989,250.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Білий,Мелітополь,2,true
Peugeot,309,Хетчбек,1350,1987,210.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний металік,Херсон,1,true
Peugeot,405,Седан,1399,1989,10.0,Передній,Ручна / Механіка,1.9 л;Бензин,,Вишгород,1,true
Peugeot,405,Седан,1400,1988,265.0,Передній,Ручна / Механіка,(1900 к.с. / 1397 кВт);Газ / Бензин,Білий,Любомль,,true
Peugeot,405,Седан,1400,1990,308.0,Передній,Ручна / Механіка,1.6 л (50 к.с. / 37 кВт);Бензин,Коричневий,Львів,2,true
Peugeot,405,Седан,1400,1990,285.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Синій,Івано-Франківськ,2,true
Peugeot,106,Хетчбек,1400,1992,232.0,Передній,Ручна / Механіка,0.95 л;Бензин,Білий,Канів,2,true
Peugeot,605,Седан,1400,1992,400.0,Передній,Ручна / Механіка,3 л;Газ / Бензин,Синій,Бровари,,true
Peugeot,406,Седан,1500,1997,350.0,Передній,Ручна / Механіка,1.8 л;Бензин,Синій,Луцьк,2,true
Peugeot,505,Седан,1500,1985,290.0,Задній,Ручна / Механіка,2 л;Бензин,Червоний,Генічеськ,,true
Peugeot,605,Седан,1500,1990,175.0,Передній,Ручна / Механіка,2 л;Бензин,,Кременчук,,true
Peugeot,605,Седан,1500,1991,199.0,Передній,Ручна / Механіка,(121 к.с. / 89 кВт);Газ / Бензин,Сірий,Київ,,true
Peugeot,405,Унiверсал,1500,1988,435.0,Передній,Ручна / Механіка,1.9 л;Газ / Бензин,Сірий,Київ,,true
Peugeot,405,Унiверсал,1500,1993,260.0,,Ручна / Механіка,1.9 л;Дизель,,Київ,,true
Peugeot,205,Хетчбек,1500,1990,207.0,Передній,Ручна / Механіка,1.4 л;Бензин,Синій,Вінниця,2,true
Peugeot,Partner груз.,"Легковий фургон (до 1,5т)",1500,1997,270.0,,,1.8 л;Дизель,Червоний,Прилуки,2,true
Peugeot,605,Седан,1500,1990,300.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Синій,Васильків,,true
Peugeot,309,Седан,1550,1989,70.0,Передній,Ручна / Механіка,1.9 л (97 к.с. / 71 кВт);Дизель,Червоний,Глибока,2,true
Peugeot,G 5,"Легковий фургон (до 1,5т)",1550,1991,230.0,,,2 л,,Косів,,true
Peugeot,309,Хетчбек,1600,1989,162.0,Передній,Ручна / Механіка,1.6 л;Бензин,Коричневий металік,Луцьк,3,true
Peugeot,605,Седан,1600,1991,250.0,Передній,Ручна / Механіка,2 л (150 к.с. / 110 кВт);Бензин,Сірий металік,Кременчук,,true
Peugeot,309,Хетчбек,1600,1991,260.0,Передній,Ручна / Механіка,1.4 л;Газ / Бензин,Синій металік,Бровари,2,true
Peugeot,405,Седан,1600,1992,268.0,Передній,Ручна / Механіка,(90 к.с. / 66 кВт),Сірий,Київ,,true
Peugeot,405,Седан,1600,1988,144.0,Передній,Ручна / Механіка,1.6 л (2 к.с. / 1.6 кВт);Газ / Бензин,Білий,Васильків,3,true
Peugeot,Partner груз.,"Легковий фургон (до 1,5т)",1650,2000,500.0,,,Дизель,,Шепетівка,,true
Peugeot,J5 пасс.,"Легковий фургон (до 1,5т)",1650,1991,385.0,Передній,Ручна / Механіка,(2.5 к.с. / 2 кВт),Синій,Рівне,,true
Peugeot,405,Седан,1650,1989,289.0,,,1.6 л;Газ / Бензин,Сірий,Южноукраїнськ,3,true
Peugeot,405,Седан,1650,1988,265.0,Передній,,1.9 л (147 к.с. / 108 кВт);Газ / Бензин,Бежевий,Львів,3,true
Peugeot,405,Седан,1700,1988,336.0,Передній,Ручна / Механіка,1.9 л;Бензин,Червоний,Чернівці,2,true
Peugeot,405,Седан,1700,1991,390.0,Передній,Ручна / Механіка,1.9 л;Дизель,Синій металік,Харків,,true
Peugeot,405,Седан,1700,1990,480.0,Передній,Ручна / Механіка,1.4 л;Бензин,Сірий,Львів,2,true
Peugeot,605,Седан,1750,1993,300.0,Передній,Ручна / Механіка,2 л;Бензин,Сірий,Львів,1,true
Peugeot,405,Седан,1750,1990,407.0,Передній,Ручна / Механіка,1.6 л (99 к.с. / 73 кВт);Газ / Бензин,Синій,Канів,2,true
Peugeot,309,Хетчбек,1750,1988,300.0,,Ручна / Механіка,1.4 л;Бензин,Сірий металік,Кропивницький (Кіровоград),,true
Peugeot,Partner груз.,"Легковий фургон (до 1,5т)",1750,1999,345.0,Передній,Ручна / Механіка,1.36 л;Бензин,Зелений,Новоград-Волинський,,true
Peugeot,605,Седан,1799,1990,333.0,Передній,Ручна / Механіка,3 л (200 к.с. / 147 кВт);Бензин,Сірий металік,Львів,,true
Peugeot,405,Седан,1800,1990,180.0,Передній,Ручна / Механіка,1.6 л (90 к.с. / 66 кВт);Газ / Бензин,Синій,Кам'янець-Подільський,2,true
Peugeot,605,Седан,1800,1991,100.0,Передній,Ручна / Механіка,3 л (227 к.с. / 167 кВт);Бензин,Зелений,Кривий Ріг,2,true
Peugeot,605,Седан,1800,1990,260.0,Передній,,2 л;Газ / Бензин,Сірий,Дрогобич,2,true
Peugeot,405,Седан,1800,1988,271.0,Передній,Ручна / Механіка,1.9 л;Газ / Бензин,Білий,Кривий Ріг,,true
Peugeot,605,Седан,1800,1991,200.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Сірий,Кам'янське (Дніпродзержинськ),4,true
Peugeot,106,Хетчбек,1800,1995,350.0,Передній,Ручна / Механіка,1 л;Бензин,Синій,Білгород-Дністровський,,true
Peugeot,405,Седан,1800,1992,365.0,Передній,Ручна / Механіка,1.6 л (92 к.с. / 68 кВт);Бензин,Червоний,Львів,2,true
Peugeot,605,Седан,1800,1990,290.0,Передній,Ручна / Механіка,3 л;Газ / Бензин,Сірий,Вінниця,,true
Peugeot,309,Хетчбек,1800,1988,192.0,Передній,Ручна / Механіка,1.9 л;Дизель,Сірий,Гадяч,1,true
Peugeot,405,Седан,1800,1990,150.0,Передній,Ручна / Механіка,1.9 л;Газ / Бензин,Сірий,Іванків,,true
