name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Kia,Pride,Седан,750,2000,230.0,Передній,Ручна / Механіка,1.3 л;Бензин,Сірий,Чернівці,1,true
Kia,Clarus,Седан,1450,1997,390.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Сірий металік,Харків,2,true
Kia,Avella,Седан,1500,1997,326.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Червоний,Українка,,true
Kia,Shuma,Седан,1500,1996,180.0,,,1.5 л;Газ / Бензин,Червоний,Київ,2,true
Kia,Sephia,Седан,1600,1997,340.0,,Ручна / Механіка,1.5 л;Бензин,Червоний,Одеса,3,true
Kia,Sephia,Седан,1600,1994,260.0,,Ручна / Механіка,1.6 л;Бензин,Червоний,Фастів,,true
Kia,Avella,Седан,1650,1997,140.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Синій,Київ,1,true
Kia,Sephia,Ліфтбек,1900,1998,195.0,Передній,Ручна / Механіка,1.5 л;Бензин,Фіолетовий,Одеса,4,true
Kia,Potentia,Седан,1900,1996,260.0,Задній,Автомат,2 л;Газ / Бензин,Зелений,Ржищів,5,true
Kia,Sephia,Седан,1900,1994,264.0,Передній,Ручна / Механіка,1.6 л (80 к.с. / 59 кВт);Газ / Бензин,Сірий,Кременчук,4,false
Kia,Clarus,Седан,1950,2000,340.0,,,2 л;Газ / Бензин,Чорний,Маньківка,3,true
Kia,Sephia,Седан,2000,1997,200.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Червоний,Лубни,3,true
Kia,Pregio пасс.,"Легковий фургон (до 1,5т)",2000,1999,100.0,Задній,Ручна / Механіка,2.7 л;Дизель,Білий,Могилів-Подільський,1,true
Kia,Magentis,Седан,2053,2006,223.0,,Ручна / Механіка,2 л;Газ / Бензин,Коричневий,Львів,3,true
Kia,Clarus,Седан,2100,1998,275.0,,Ручна / Механіка,1.8 л;Газ / Бензин,Білий,Первомайський,4,true
Kia,Avella,Седан,2150,1997,238.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Білий,Рівне,6,true
Kia,Shuma,Седан,2200,1998,450.0,Передній,Ручна / Механіка,1.5 л;Бензин,Синій,Київ,2,true
Kia,Pregio груз.,"Легковий фургон (до 1,5т)",2200,1999,220.0,Задній,Ручна / Механіка,2.65 л;Дизель,Синій,Ужгород,,true
Kia,Shuma,Хетчбек,2300,2000,220.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Сірий,Херсон,4,true
Kia,Clarus,Седан,2300,1996,240.0,Передній,Ручна / Механіка,2 л (136 к.с. / 100 кВт);Бензин,Білий,Київ,2,true
Kia,Clarus,Седан,2400,2000,447.0,Передній,,2 л;Газ / Бензин,Білий,Бахмач,,true
Kia,Sephia,Седан,2400,1993,200.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Синій,Дунаївці,2,true
Kia,Sephia,Седан,2400,1996,292.0,Передній,Ручна / Механіка,1.5 л (80 к.с. / 59 кВт);Бензин,Зелений,Київ,,false
Kia,Sephia,Седан,2450,1998,285.0,Передній,Ручна / Механіка,1.5 л;Газ / Бензин,Чорний металік,Рахів,2,true
Kia,Pregio груз.,"Легковий фургон (до 1,5т)",2500,2000,287.0,Задній,Ручна / Механіка,2.7 л,Білий,Фастів,,true
Kia,Pregio груз.,"Легковий фургон (до 1,5т)",2500,2003,300.0,Задній,Ручна / Механіка,2.5 л;Дизель,,Дніпро (Дніпропетровськ),,true
Kia,Joice,Мінівен,2500,2000,350.0,Передній,Ручна / Механіка,2 л (136 к.с. / 100 кВт);Бензин,Жовтий металік,Бровари,,true
